symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
DVN,12.31,13.14,13.16,12.3,9861117,-6.17,2020-05-19,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-13 - 2020-05-19,7,-0.1605774562053,-0.1605774562053
DVN,12.42,12.62,12.87,12.36,10717339,0.89,2020-05-20,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-20 - 2020-05-26,8,-0.08377520594687617,-0.08377520594687617
DVN,12.29,12.49,12.61,12.04,8138896,-1.05,2020-05-21,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-20 - 2020-05-26,8,-0.3150589437661347,-0.3150589437661347
DVN,12.14,12.15,12.25,11.8,8327756,-1.22,2020-05-22,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-20 - 2020-05-26,8,-0.29811839215241076,-0.29811839215241076
DVN,12.31,12.74,12.79,12.11,9076912,1.4,2020-05-26,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-20 - 2020-05-26,8,-0.23091985416273078,-0.23091985416273078
DVN,12.43,12.5,12.5,11.78,9418862,0.97,2020-05-27,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-27 - 2020-06-02,9,-0.2002472838762069,-0.2002472838762069
DVN,11.66,12.39,12.4,11.57,11209815,-6.19,2020-05-28,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-27 - 2020-06-02,9,-0.03960060520283134,-0.03960060520283134
DVN,10.81,11.5,11.56,10.77,43105622,-7.29,2020-05-29,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-27 - 2020-06-02,9,2.821421129123532,2.821421129123532
DVN,11.7,10.8,11.88,10.62,12175335,8.23,2020-06-01,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-27 - 2020-06-02,9,0.04700556547429842,0.04700556547429842
DVN,12.16,11.88,12.22,11.86,8460765,3.93,2020-06-02,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-05-27 - 2020-06-02,9,-0.2861876189363258,-0.2861876189363258
DVN,12.52,12.4,12.59,12.08,8261420,2.96,2020-06-03,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-03 - 2020-06-09,10,-0.304068664480315,-0.304068664480315
DVN,12.72,12.35,12.82,12.08,10409225,1.6,2020-06-04,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-03 - 2020-06-09,10,-0.11141272114284638,-0.11141272114284638
DVN,14.6,13.51,14.9,13.5,15550339,14.78,2020-06-05,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-06-03 - 2020-06-09,10,0.34974002199513243,0.34974002199513243
